07:36:36 [INFO] Failed to extract font properties from /usr/share/fonts/truetype/noto/NotoColorEmoji.ttf: Can not load face (unknown file format; error code 0x2)
07:36:36 [INFO] generated new fontManager
07:36:36 [INFO] バックテスト期間: 2022-07-01 〜 2024-12-31
07:36:36 [INFO] STEP1: クライアント初期化
07:36:36 [INFO] STEP2: 上場銘柄取得
07:36:36 [INFO] J-Quants: 上場銘柄情報を取得中...
07:36:38 [INFO] 上場銘柄数: 4449
07:36:38 [INFO] STEP3: 財務データ取得 (2021-07-01 〜 2024-12-31)
07:36:38 [INFO] J-Quants: 財務データを取得中 (2021-07-01 〜 2024-12-31)...
07:36:39 [INFO]   fin_summary 逐次取得: 914 営業日分
07:37:58 [WARNING]   fin_summary 20211116 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211116 (Caused by ResponseError('too many 429 error responses'))
07:37:58 [INFO]   fin_summary: 100/914 (20211117)
07:37:59 [WARNING]   fin_summary 20211117 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211117 (Caused by ResponseError('too many 429 error responses'))
07:38:00 [WARNING]   fin_summary 20211118 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211118 (Caused by ResponseError('too many 429 error responses'))
07:38:01 [WARNING]   fin_summary 20211119 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211119 (Caused by ResponseError('too many 429 error responses'))
07:38:02 [WARNING]   fin_summary 20211122 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211122 (Caused by ResponseError('too many 429 error responses'))
07:38:03 [WARNING]   fin_summary 20211123 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211123 (Caused by ResponseError('too many 429 error responses'))
07:38:04 [WARNING]   fin_summary 20211124 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211124 (Caused by ResponseError('too many 429 error responses'))
07:38:05 [WARNING]   fin_summary 20211125 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211125 (Caused by ResponseError('too many 429 error responses'))
07:38:06 [WARNING]   fin_summary 20211126 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211126 (Caused by ResponseError('too many 429 error responses'))
07:38:07 [WARNING]   fin_summary 20211129 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211129 (Caused by ResponseError('too many 429 error responses'))
07:38:08 [WARNING]   fin_summary 20211130 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211130 (Caused by ResponseError('too many 429 error responses'))
07:38:09 [WARNING]   fin_summary 20211201 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211201 (Caused by ResponseError('too many 429 error responses'))
07:38:10 [WARNING]   fin_summary 20211202 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211202 (Caused by ResponseError('too many 429 error responses'))
07:38:11 [WARNING]   fin_summary 20211203 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211203 (Caused by ResponseError('too many 429 error responses'))
07:38:12 [WARNING]   fin_summary 20211206 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211206 (Caused by ResponseError('too many 429 error responses'))
07:38:13 [WARNING]   fin_summary 20211207 スキップ: HTTPSConnectionPool(host='api.jquants.com', port=443): Max retries exceeded with url: /v2/fins/summary?date=20211207 (Caused by ResponseError('too many 429 error responses'))
