12:17:38 [INFO] 開示銘柄一覧投稿: 2026-05-28
12:17:38 [INFO] J-Quants: 上場銘柄情報を取得中...
12:18:30 [INFO]     2/19: equities/bars/daily/historical/2026/equities_bars_daily_202604.csv.gz (93437件)
12:18:31 [INFO]     3/19: equities/bars/daily/live/equities_bars_daily_20260501.csv.gz (4449件)
12:18:32 [INFO]     4/19: equities/bars/daily/live/equities_bars_daily_20260507.csv.gz (4451件)
12:18:33 [INFO]     5/19: equities/bars/daily/live/equities_bars_daily_20260508.csv.gz (4450件)
12:18:34 [INFO]     6/19: equities/bars/daily/live/equities_bars_daily_20260511.csv.gz (4449件)
12:18:35 [INFO]     7/19: equities/bars/daily/live/equities_bars_daily_20260512.csv.gz (4449件)
12:18:36 [INFO]     8/19: equities/bars/daily/live/equities_bars_daily_20260513.csv.gz (4449件)
12:18:37 [INFO]     9/19: equities/bars/daily/live/equities_bars_daily_20260514.csv.gz (4449件)
12:18:38 [INFO]     10/19: equities/bars/daily/live/equities_bars_daily_20260515.csv.gz (4446件)
12:18:39 [INFO]     11/19: equities/bars/daily/live/equities_bars_daily_20260518.csv.gz (4446件)
12:18:40 [INFO]     12/19: equities/bars/daily/live/equities_bars_daily_20260519.csv.gz (4444件)
12:18:41 [INFO]     13/19: equities/bars/daily/live/equities_bars_daily_20260520.csv.gz (4446件)
12:18:42 [INFO]     14/19: equities/bars/daily/live/equities_bars_daily_20260521.csv.gz (4446件)
12:18:43 [INFO]     15/19: equities/bars/daily/live/equities_bars_daily_20260522.csv.gz (4446件)
12:18:44 [INFO]     16/19: equities/bars/daily/live/equities_bars_daily_20260525.csv.gz (4446件)
12:18:45 [INFO]     17/19: equities/bars/daily/live/equities_bars_daily_20260526.csv.gz (4446件)
12:18:46 [INFO]     18/19: equities/bars/daily/live/equities_bars_daily_20260527.csv.gz (4451件)
12:18:47 [INFO]     19/19: equities/bars/daily/live/equities_bars_daily_20260528.csv.gz (4453件)
12:18:53 [INFO]   決算成長率 >= 20%: 5162 件
12:18:53 [INFO]   ROE >= 12%: 5162 → 972 件
12:18:53 [INFO]   Code形式 listed='13010', passed='135A0'
12:18:53 [INFO]   ScaleCat値分布: {'-': 587, 'TOPIX Small 2': 140, 'TOPIX Small 1': 118, 'TOPIX Mid400': 76, None: 27, 'TOPIX Large70': 15, 'TOPIX Core30': 9}
12:18:53 [INFO]   ScaleCat Mid400+Large70(['TOPIX Mid400', 'TOPIX Large70']): 972 → 91 件
12:18:53 [INFO]   始値カラム: AdjustmentOpen
12:18:53 [INFO]   大幅GDフィルタ(gap>=-5%): 91 → 87 件
12:18:58 [INFO]   RSI14: 27 件に付与
12:18:58 [INFO]   最終候補: 87 件
12:18:58 [INFO] 全開示: 12件 / 中大型: 0件 / ヒット: 0件
12:19:06 [INFO] Threads投稿成功: id=17947828509172924
【決算開示まとめ 05/28】
本日開示: 12件 / 中大型株: 0件
条件クリア: 0件

本日はヒットなし
#株式投資 #決算スクリーニング #AIトレード
