Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
13830,2026-09-14,2026-07-31,3QFinancialStatements_Consolidated_JP,3Q,39000000.0,-220000000.0,5271000000.0,37000000.0,2209000000.0,0.324,,9.99,4797000000.0,0.09881175734834269,0.007398975526465566,0.016749660479855138,0.0032400000000000003,,-
14440,2026-09-14,2026-07-31,FYFinancialStatements_Consolidated_JP,FY,-42000000.0,72000000.0,5376000000.0,-139000000.0,1574000000.0,0.467,235000000.0,-1.5833333333333335,5279000000.0,0.018374692176548635,-0.0078125,-0.08831003811944091,0.0046700000000000005,4.595238095238095,-
168A0,2026-09-14,2026-07-31,2QFinancialStatements_Consolidated_JP,2Q,71000000.0,106000000.0,2913000000.0,32000000.0,1332000000.0,0.23,,-0.33018867924528306,2089000000.0,0.3944471038774533,0.02437349811191212,0.024024024024024024,0.0023,,-
18400,2026-09-14,2026-07-31,3QFinancialStatements_Consolidated_JP,3Q,-1707000000.0,-1317000000.0,19576000000.0,-1163000000.0,12037000000.0,0.415,,0.29612756264236895,18430000000.0,0.06218122626153022,-0.08719861054352268,-0.09661875882695024,0.00415,,-
184A0,2026-09-14,2026-07-31,1QFinancialStatements_NonConsolidated_JP,1Q,-44000000.0,-77000000.0,76000000.0,-44000000.0,492000000.0,0.868,,-0.4285714285714286,57000000.0,0.33333333333333326,-0.5789473684210527,-0.08943089430894309,0.00868,,-
212A0,2026-09-14,2026-07-31,3QFinancialStatements_NonConsolidated_JP,3Q,2507000000.0,1774000000.0,10623000000.0,1725000000.0,6761000000.0,0.584,,0.41319052987598637,6881000000.0,0.5438163057695102,0.2359973642097336,0.2551397722230439,0.00584,,TOPIX Small 2
218A0,2026-09-14,2026-07-31,FYFinancialStatements_Consolidated_JP,FY,-2397000000.0,-1588000000.0,1595000000.0,-811000000.0,1291000000.0,0.614,-2898000000.0,0.5094458438287153,1406000000.0,0.1344238975817924,-1.50282131661442,-0.6281951975213013,0.00614,-2.2090112640801003,-
23010,2026-09-14,2026-07-31,3QFinancialStatements_NonConsolidated_JP,3Q,964000000.0,848000000.0,7681000000.0,784000000.0,14429000000.0,0.901,,0.1367924528301887,7063000000.0,0.0874982302137901,0.1255044916026559,0.05433501975188856,0.00901,,TOPIX Small 2
23150,2026-09-14,2026-07-31,3QFinancialStatements_Consolidated_JP,3Q,111000000.0,66000000.0,4693000000.0,-126000000.0,5562000000.0,0.883,,0.6818181818181819,3840000000.0,0.2221354166666667,0.02365224802897933,-0.022653721682847898,0.00883,,-
23450,2026-09-14,2026-07-31,3QFinancialStatements_Consolidated_JP,3Q,-303000000.0,-373000000.0,59000000.0,-347000000.0,198000000.0,0.261,,-0.18766756032171583,19000000.0,2.1052631578947367,-5.135593220338983,-1.7525252525252526,0.00261,,-
23910,2026-09-14,2026-07-31,FYFinancialStatements_NonConsolidated_JP,FY,557000000.0,564000000.0,3148000000.0,412000000.0,5450000000.0,0.855,485000000.0,-0.012411347517730542,3162000000.0,-0.0044275774826059155,0.17693773824650572,0.07559633027522936,0.00855,-0.12926391382405744,-
24240,2026-09-14,2026-07-31,FYFinancialStatements_Consolidated_JP,FY,588000000.0,751000000.0,14315000000.0,265000000.0,4375000000.0,0.333,1102000000.0,-0.21704394141145145,13562000000.0,0.0555227842501107,0.041075794621026895,0.060571428571428575,0.00333,0.8741496598639455,-
27760,2026-09-14,2026-07-31,2QFinancialStatements_Consolidated_JP,2Q,412000000.0,-7000000.0,31323000000.0,48000000.0,4435000000.0,0.228,,9.99,9970000000.0,2.1417251755265796,0.013153273952048015,0.010822998872604284,0.00228,,-
