Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
32790,2026-07-16,2026-05-31,FYFinancialStatements_Consolidated_REIT,FY,9740000000.0,8557000000.0,17732000000.0,8456000000.0,268869000000.0,0.478,10130000000.0,0.13824938646721985,16538000000.0,0.07219736364735763,0.5492894202571622,0.031450260163871625,0.0047799999999999995,0.04004106776180705,-
32830,2026-07-16,2026-05-31,FYFinancialStatements_Consolidated_REIT,FY,15971000000.0,16833000000.0,33710000000.0,14395000000.0,496609000000.0,0.555,16255000000.0,-0.05120893483039268,35080000000.0,-0.03905359179019385,0.47377632749925835,0.028986587033259566,0.00555,0.017782230292404888,-
59900,2026-07-16,2026-06-15,1QFinancialStatements_Consolidated_JP,1Q,70000000.0,84000000.0,1638000000.0,-67000000.0,10237000000.0,0.793,,-0.16666666666666663,1395000000.0,0.17419354838709666,0.042735042735042736,-0.0065448861971280645,0.00793,,-
70970,2026-07-16,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,995000000.0,1078000000.0,13679000000.0,791000000.0,6516000000.0,0.404,,-0.07699443413729123,14467000000.0,-0.05446879104168112,0.07273923532421961,0.12139349294045426,0.00404,,-
78080,2026-07-16,2026-05-31,FYFinancialStatements_Consolidated_JP,FY,1134000000.0,1774000000.0,20381000000.0,693000000.0,11883000000.0,0.392,1490000000.0,-0.36076662908680945,20673000000.0,-0.01412470371982777,0.05564005691575487,0.05831860641252209,0.00392,0.31393298059964736,-
89660,2026-07-16,2026-05-31,FYFinancialStatements_Consolidated_REIT,FY,6627000000.0,5985000000.0,11525000000.0,5677000000.0,134650000000.0,0.471,4600000000.0,0.10726817042606518,10704000000.0,0.07670029895366226,0.5750108459869848,0.04216115855922763,0.00471,-0.30586992606005736,-
89770,2026-07-16,2026-05-31,FYFinancialStatements_Consolidated_REIT,FY,2738000000.0,2766000000.0,6297000000.0,2286000000.0,86975000000.0,0.476,2750000000.0,-0.010122921185827916,6504000000.0,-0.03182656826568264,0.43481022709226613,0.02628341477436045,0.0047599999999999995,0.0043827611395179655,-
