Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
14140,2026-08-10,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,20831000000.0,20794000000.0,89204000000.0,15439000000.0,108376000000.0,0.823,21000000000.0,0.001779359430605032,90712000000.0,-0.01662404092071612,0.23352091834446886,0.14245773972097142,0.00823,0.008112908645768302,TOPIX Mid400
17640,2026-08-10,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,944000000.0,646000000.0,24619000000.0,525000000.0,5919000000.0,0.27,634000000.0,0.4613003095975232,22497000000.0,0.09432368760279153,0.038344368170924896,0.08869741510390268,0.0027,-0.3283898305084746,-
18670,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,523000000.0,540000000.0,14026000000.0,347000000.0,31593000000.0,0.603,,-0.031481481481481444,13425000000.0,0.04476722532588462,0.037287893911307574,0.010983445699996834,0.00603,,-
19090,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,2030000000.0,1448000000.0,13260000000.0,1416000000.0,37404000000.0,0.594,,0.40193370165745845,12829000000.0,0.03359575960714012,0.15309200603318251,0.03785691369906962,0.00594,,-
19600,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,958000000.0,272000000.0,16077000000.0,875000000.0,33926000000.0,0.573,,2.5220588235294117,13969000000.0,0.1509055766339753,0.05958823163525533,0.025791428402994754,0.00573,,-
208A0,2026-08-10,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,3540000000.0,3073000000.0,22453000000.0,2114000000.0,11559000000.0,0.509,3850000000.0,0.15196876016921568,20137000000.0,0.11501216665839009,0.15766267313944685,0.18288779306168354,0.00509,0.08757062146892647,-
21080,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,243000000.0,-89000000.0,15624000000.0,331000000.0,76218000000.0,0.808,,9.99,17168000000.0,-0.08993476234855546,0.01555299539170507,0.00434280616127424,0.00808,,TOPIX Small 2
21560,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-75000000.0,-102000000.0,476000000.0,-53000000.0,2223000000.0,0.498,,-0.2647058823529411,417000000.0,0.14148681055155876,-0.15756302521008403,-0.02384165542060279,0.00498,,-
21700,2026-08-10,2026-06-30,2QFinancialStatements_Consolidated_IFRS,2Q,3234000000.0,3163000000.0,22269000000.0,1823000000.0,15883000000.0,0.29,,0.022447043945621248,19937000000.0,0.11696845061945127,0.1452243028425165,0.11477680538941006,0.0029,,TOPIX Small 2
22070,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,179000000.0,471000000.0,6337000000.0,993000000.0,65265000000.0,0.619,,-0.6199575371549894,6214000000.0,0.01979401351786292,0.028246804481615907,0.015214893128016547,0.00619,,TOPIX Small 2
22210,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-40000000.0,293000000.0,7519000000.0,9000000.0,59767000000.0,0.761,,-1.136518771331058,7124000000.0,0.05544637843907907,-0.005319856363878175,0.00015058477086017367,0.0076100000000000004,,-
22240,2026-08-10,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,86000000.0,-9000000.0,1833000000.0,145000000.0,2197000000.0,0.442,,9.99,1858000000.0,-0.013455328310010728,0.046917621385706494,0.06599908966772872,0.00442,,-
22930,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-105000000.0,-98000000.0,6792000000.0,-1000000.0,3236000000.0,0.265,,0.0714285714285714,6566000000.0,0.034419738044471515,-0.015459363957597174,-0.00030902348578491963,0.00265,,-
24180,2026-08-10,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,3519000000.0,3871000000.0,36876000000.0,2285000000.0,41887000000.0,0.276,,-0.09093257556187029,33748000000.0,0.09268697404290616,0.09542792059876343,0.05455153150142049,0.0027600000000000003,,-
24280,2026-08-10,2026-06-30,FYFinancialStatements_NonConsolidated_JP,FY,1411000000.0,1502000000.0,10059000000.0,1081000000.0,9261000000.0,0.354,1500000000.0,-0.06058588548601862,10918000000.0,-0.07867741344568602,0.14027239288199622,0.1167260555015657,0.0035399999999999997,0.06307583274273565,-
24540,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-79000000.0,18000000.0,3799000000.0,-66000000.0,3913000000.0,0.528,,-5.388888888888889,4155000000.0,-0.0856799037304452,-0.020794946038431166,-0.0168668540761564,0.00528,,-
24610,2026-08-10,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,489000000.0,1064000000.0,3434000000.0,198000000.0,16266000000.0,0.764,,-0.5404135338345865,3644000000.0,-0.057628979143798054,0.14239953407105416,0.01217263002582073,0.00764,,TOPIX Small 2
246A0,2026-08-10,2026-06-30,FYFinancialStatements_NonConsolidated_JP,FY,135000000.0,198000000.0,1461000000.0,86000000.0,1039000000.0,0.783,163000000.0,-0.31818181818181823,1392000000.0,0.049568965517241326,0.09240246406570841,0.08277189605389798,0.00783,0.20740740740740748,-
24810,2026-08-10,2026-06-30,FYFinancialStatements_NonConsolidated_JP,FY,593000000.0,462000000.0,3987000000.0,454000000.0,5674000000.0,0.878,617000000.0,0.28354978354978355,3677000000.0,0.08430785966820786,0.14873338349636317,0.08001409940077547,0.00878,0.0404721753794266,-
24880,2026-08-10,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,226000000.0,150000000.0,2483000000.0,150000000.0,3767000000.0,0.627,,0.5066666666666666,2312000000.0,0.07396193771626303,0.09101892871526379,0.039819485001327315,0.00627,,-
250A0,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,825000000.0,1045000000.0,10857000000.0,593000000.0,18671000000.0,0.669,,-0.21052631578947367,10749000000.0,0.010047446274072058,0.07598784194528875,0.03176048417331691,0.006690000000000001,,TOPIX Small 2
27050,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,554000000.0,453000000.0,10273000000.0,323000000.0,4613000000.0,0.373,,0.22295805739514352,8704000000.0,0.1802619485294117,0.05392777182906649,0.07001951008020811,0.00373,,-
27520,2026-08-10,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,58000000.0,250000000.0,15929000000.0,-113000000.0,8533000000.0,0.374,,-0.768,15674000000.0,0.01626898047722336,0.0036411576370142507,-0.013242704793155983,0.00374,,TOPIX Small 1
27880,2026-08-10,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,590000000.0,276000000.0,24396000000.0,553000000.0,11360000000.0,0.471,,1.13768115942029,18683000000.0,0.30578600867098427,0.024184292506968356,0.04867957746478873,0.00471,,-
28180,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,93000000.0,44000000.0,3350000000.0,12000000.0,6061000000.0,0.349,,1.1136363636363638,2971000000.0,0.12756647593402892,0.027761194029850746,0.001979871308364956,0.0034899999999999996,,-
28770,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-155000000.0,8000000.0,13974000000.0,-151000000.0,17094000000.0,0.39,,-20.375,14015000000.0,-0.002925437031751743,-0.01109202805209675,-0.008833508833508833,0.0039000000000000003,,-
28940,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,137000000.0,137000000.0,2871000000.0,100000000.0,3931000000.0,0.479,,0.0,2728000000.0,0.05241935483870974,0.04771856495994427,0.02543881963876876,0.00479,,-
29170,2026-08-10,2026-06-30,3QFinancialStatements_Consolidated_JP,3Q,152000000.0,-67000000.0,12108000000.0,139000000.0,11642000000.0,0.557,,9.99,12551000000.0,-0.03529599235120706,0.012553683515031383,0.011939529290499915,0.00557,,-
29760,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-19000000.0,-16000000.0,254000000.0,-13000000.0,1981000000.0,0.428,,0.1875,445000000.0,-0.42921348314606744,-0.07480314960629922,-0.006562342251388188,0.00428,,
29840,2026-08-10,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,360000000.0,-79000000.0,5578000000.0,74000000.0,13964000000.0,0.222,,9.99,2158000000.0,1.5848007414272476,0.0645392613840086,0.005299341162990547,0.00222,,-
