Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
57260,2026-08-25,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,1250000000.0,684000000.0,12382000000.0,784000000.0,44617000000.0,0.413,,0.827485380116959,12106000000.0,0.02279861225838431,0.10095299628492974,0.01757177757357061,0.00413,,TOPIX Small 1
75900,2026-08-25,2026-07-20,2QFinancialStatements_Consolidated_JP,2Q,386000000.0,382000000.0,11098000000.0,173000000.0,13180000000.0,0.505,,0.010471204188481575,10929000000.0,0.015463445877939463,0.034781041629122364,0.013125948406676783,0.00505,,TOPIX Small 2
89630,2026-08-25,2026-06-30,FYFinancialStatements_Consolidated_REIT,FY,17564000000.0,19309000000.0,26789000000.0,14729000000.0,352854000000.0,0.498,18382000000.0,-0.09037236521829195,28591000000.0,-0.06302682662376269,0.6556422412184105,0.041742477058500115,0.00498,0.04657253473012979,-
