Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
33290,2026-05-29,2026-04-30,FYFinancialStatements_NonConsolidated_JP,FY,983000000.0,1062000000.0,13314000000.0,751000000.0,7770000000.0,0.792,800000000.0,-0.0743879472693032,12812000000.0,0.039182016859194535,0.07383205648189875,0.09665379665379666,0.00792,-0.18616480162767035,-
37190,2026-05-29,2026-03-31,1QFinancialStatements_NonConsolidated_JP,1Q,133000000.0,54000000.0,553000000.0,110000000.0,2670000000.0,0.396,,1.4629629629629628,425000000.0,0.3011764705882354,0.24050632911392406,0.04119850187265917,0.00396,,-
43690,2026-05-29,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,2069000000.0,1712000000.0,7488000000.0,1855000000.0,36761000000.0,0.779,,0.2085280373831775,6569000000.0,0.13989952808646677,0.2763087606837607,0.05046108647751693,0.00779,,TOPIX Small 1
46270,2026-05-29,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,864000000.0,647000000.0,11514000000.0,659000000.0,25413000000.0,0.782,,0.33539412673879454,11023000000.0,0.04454322779642572,0.07503908285565399,0.025931609806004802,0.00782,,-
47070,2026-05-29,2026-04-20,2QFinancialStatements_Consolidated_JP,2Q,232000000.0,194000000.0,1778000000.0,179000000.0,3714000000.0,0.547,,0.19587628865979378,1759000000.0,0.010801591813530464,0.13048368953880765,0.04819601507808293,0.00547,,-
62280,2026-05-29,2025-09-30,3QFinancialStatements_Consolidated_JP,3Q,-1281000000.0,1208000000.0,10859000000.0,-2190000000.0,9794000000.0,0.465,,-2.060430463576159,16349000000.0,-0.3358003547617592,-0.1179666635970163,-0.22360628956503983,0.0046500000000000005,,-
62280,2026-05-29,2025-12-31,FYFinancialStatements_Consolidated_JP,FY,-1493000000.0,789000000.0,14662000000.0,-2336000000.0,9720000000.0,0.498,,-2.8922686945500633,17880000000.0,-0.17997762863534672,-0.10182785431728276,-0.2403292181069959,0.00498,,-
65740,2026-05-29,2026-03-31,FYFinancialStatements_Consolidated_IFRS,FY,1484000000.0,135000000.0,15440000000.0,-1178000000.0,10775000000.0,0.574,8957000000.0,9.992592592592592,3241000000.0,3.7639617402036407,0.0961139896373057,-0.10932714617169373,0.0057399999999999994,5.035714285714286,-
67060,2026-05-29,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,1219000000.0,935000000.0,35446000000.0,1903000000.0,37205000000.0,0.692,1650000000.0,0.30374331550802136,32582000000.0,0.0879012951936653,0.03439034023585172,0.05114903910764682,0.006919999999999999,0.35356849876948315,TOPIX Small 2
67720,2026-05-29,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,457000000.0,1040000000.0,9601000000.0,28000000.0,7725000000.0,0.671,,-0.5605769230769231,10506000000.0,-0.0861412526175519,0.047599208415790024,0.0036245954692556634,0.006710000000000001,,-
72470,2026-05-29,2025-06-30,1QFinancialStatements_Consolidated_JP,1Q,1318000000.0,804000000.0,24589000000.0,757000000.0,37169000000.0,0.319,,0.6393034825870647,24249000000.0,0.014021196750381382,0.05360120379031274,0.020366434394253275,0.00319,,-
72470,2026-05-29,2025-12-31,3QFinancialStatements_Consolidated_JP,3Q,2986000000.0,1888000000.0,75521000000.0,1320000000.0,40042000000.0,0.344,,0.5815677966101696,75504000000.0,0.00022515363424457924,0.03953867136293217,0.032965386344338446,0.00344,,-
72470,2026-05-29,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,4181000000.0,3031000000.0,103419000000.0,1197000000.0,40783000000.0,0.38,4300000000.0,0.37941273507093376,101428000000.0,0.01962968805458054,0.04042777439348669,0.02935046465439031,0.0038,0.028462090408993168,-
74880,2026-05-29,2026-04-20,FYFinancialStatements_Consolidated_JP,FY,2235000000.0,1946000000.0,11502000000.0,1588000000.0,13923000000.0,0.77,2170000000.0,0.14850976361767732,10875000000.0,0.05765517241379303,0.19431403234220135,0.11405587876176111,0.0077,-0.029082774049216997,
76190,2026-05-29,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,1351000000.0,1220000000.0,44048000000.0,934000000.0,15644000000.0,0.507,1793000000.0,0.10737704918032787,41452000000.0,0.06262665251375088,0.030671086087904104,0.059703400664791614,0.00507,0.3271650629163583,-
82890,2026-05-29,2026-02-28,FYFinancialStatements_Consolidated_JP,FY,-2372000000.0,51000000.0,98157000000.0,-3798000000.0,21062000000.0,0.326,,-47.509803921568626,98638000000.0,-0.004876416796772087,-0.024165367727212526,-0.18032475548380972,0.0032600000000000003,,-
92380,2026-05-29,2025-05-31,1QFinancialStatements_NonConsolidated_JP,1Q,-56000000.0,43000000.0,810000000.0,-110000000.0,260000000.0,0.15,,-2.302325581395349,922000000.0,-0.12147505422993488,-0.0691358024691358,-0.4230769230769231,0.0015,,-
92380,2026-05-29,2025-08-31,2QFinancialStatements_NonConsolidated_JP,2Q,-158000000.0,56000000.0,1554000000.0,-50000000.0,315000000.0,0.161,,-3.8214285714285716,1782000000.0,-0.12794612794612792,-0.10167310167310167,-0.15873015873015872,0.00161,,-
92380,2026-05-29,2025-11-30,3QFinancialStatements_NonConsolidated_JP,3Q,-257000000.0,-184000000.0,2363000000.0,-23000000.0,271000000.0,0.133,,0.3967391304347827,2357000000.0,0.002545608824777279,-0.10876005078290309,-0.08487084870848709,0.00133,,-
