Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
14440,2026-06-12,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,-21000000.0,59000000.0,3956000000.0,-75000000.0,1647000000.0,0.497,,-1.3559322033898304,3950000000.0,0.0015189873417722488,-0.005308392315470172,-0.04553734061930783,0.00497,,-
168A0,2026-06-12,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,49000000.0,41000000.0,1375000000.0,31000000.0,1329000000.0,0.237,,0.19512195121951215,955000000.0,0.4397905759162304,0.03563636363636364,0.023325808878856283,0.0023699999999999997,,-
17660,2026-06-12,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,22373000000.0,22258000000.0,386537000000.0,16161000000.0,116350000000.0,0.54,20175000000.0,0.005166681642555515,366640000000.0,0.054268492253982004,0.057880616862033905,0.13889987107864202,0.0054,-0.0982434184061145,TOPIX Small 1
186A0,2026-06-12,2026-04-30,FYFinancialStatements_Consolidated_IFRS,FY,-9975000000.0,-18755000000.0,5940000000.0,-6697000000.0,8075000000.0,0.251,,-0.46814182884564115,2456000000.0,1.4185667752442996,-1.6792929292929293,-0.8293498452012384,0.00251,,-
18730,2026-06-12,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,2380000000.0,2335000000.0,29618000000.0,1340000000.0,22966000000.0,0.514,2640000000.0,0.01927194860813697,34980000000.0,-0.15328759291023442,0.08035653994192721,0.05834712183227379,0.0051400000000000005,0.10924369747899165,TOPIX Small 2
19640,2026-06-12,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,2879000000.0,2735000000.0,37332000000.0,4668000000.0,31481000000.0,0.608,3620000000.0,0.05265082266910426,36247000000.0,0.029933511738902574,0.07711882567234545,0.14827991486928624,0.0060799999999999995,0.25738103508162546,TOPIX Small 2
19690,2026-06-12,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,47745000000.0,32415000000.0,423923000000.0,37470000000.0,215056000000.0,0.55,50000000000.0,0.4729291994447016,381661000000.0,0.11073177505692233,0.11262658548840238,0.1742336879696451,0.0055000000000000005,0.04723007644779553,TOPIX Mid400
211A0,2026-06-12,2026-04-30,3QFinancialStatements_NonConsolidated_JP,3Q,258000000.0,730000000.0,3903000000.0,179000000.0,4389000000.0,0.538,,-0.6465753424657534,5593000000.0,-0.30216341855891293,0.06610299769408147,0.04078377762588289,0.00538,,-
212A0,2026-06-12,2026-04-30,2QFinancialStatements_NonConsolidated_JP,2Q,1607000000.0,1084000000.0,6705000000.0,1105000000.0,6575000000.0,0.611,,0.4824723247232472,4239000000.0,0.5817409766454353,0.23967188665175243,0.16806083650190115,0.00611,,TOPIX Small 2
218A0,2026-06-12,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,-1969000000.0,-1454000000.0,1216000000.0,-1349000000.0,729000000.0,0.466,,0.3541953232462174,980000000.0,0.24081632653061225,-1.6192434210526316,-1.850480109739369,0.00466,,-
23730,2026-06-12,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,331000000.0,-10000000.0,24802000000.0,-313000000.0,4257000000.0,0.131,,9.99,23613000000.0,0.05035361876932187,0.013345697927586485,-0.07352595724688749,0.00131,,-
26950,2026-06-12,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,2476000000.0,2903000000.0,125253000000.0,1835000000.0,89626000000.0,0.391,,-0.14708921805029285,117625000000.0,0.06485015940488847,0.019767989589071718,0.020473969607033675,0.00391,,TOPIX Small 1
29230,2026-06-12,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,3336000000.0,2697000000.0,51775000000.0,2800000000.0,24860000000.0,0.429,,0.2369299221357064,46479000000.0,0.11394393166806505,0.06443264123611782,0.11263073209975864,0.0042899999999999995,,-
29910,2026-06-12,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,2959000000.0,2472000000.0,80137000000.0,1769000000.0,12618000000.0,0.305,,0.1970064724919094,69156000000.0,0.1587859332523569,0.036924267192432955,0.14019654461879855,0.0030499999999999998,,-
29970,2026-06-12,2026-04-30,1QFinancialStatements_NonConsolidated_JP,1Q,-111000000.0,-36000000.0,546000000.0,-85000000.0,1153000000.0,0.231,,2.0833333333333335,630000000.0,-0.1333333333333333,-0.2032967032967033,-0.07372072853425846,0.00231,,-
30380,2026-06-12,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,21037000000.0,19086000000.0,286172000000.0,16501000000.0,172329000000.0,0.623,,0.10222152362988579,272306000000.0,0.050920655439101514,0.0735117342018087,0.09575289127192753,0.00623,,TOPIX Mid400
31210,2026-06-12,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,253000000.0,104000000.0,1628000000.0,29000000.0,4463000000.0,0.311,,1.4326923076923075,1627000000.0,0.0006146281499692652,0.1554054054054054,0.006497871386959444,0.00311,,-
31590,2026-06-12,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,2641000000.0,2128000000.0,48861000000.0,1772000000.0,56189000000.0,0.4,,0.2410714285714286,47381000000.0,0.03123614951140752,0.05405128834858067,0.03153642171955365,0.004,,-
31610,2026-06-12,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,192000000.0,191000000.0,8289000000.0,138000000.0,6826000000.0,0.807,260000000.0,0.005235602094240788,8027000000.0,0.032639840538183584,0.02316322837495476,0.020216818048637564,0.00807,0.35416666666666674,-
31690,2026-06-12,2026-04-30,1QFinancialStatements_NonConsolidated_JP,1Q,-24000000.0,16000000.0,3061000000.0,-29000000.0,3152000000.0,0.573,,-2.5,2985000000.0,0.025460636515912904,-0.007840574975498203,-0.009200507614213198,0.00573,,-
324A0,2026-06-12,2026-04-30,FYFinancialStatements_NonConsolidated_JP,FY,509000000.0,515000000.0,1719000000.0,370000000.0,1781000000.0,0.753,508000000.0,-0.011650485436893177,1456000000.0,0.18063186813186816,0.2961023851076207,0.20774845592363841,0.00753,-0.0019646365422396617,-
33200,2026-06-12,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,347000000.0,804000000.0,15499000000.0,249000000.0,19214000000.0,0.634,,-0.568407960199005,15981000000.0,-0.03016081596896314,0.022388541196206205,0.01295930051004476,0.00634,,-
