Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
32960,2026-08-20,2026-06-30,FYFinancialStatements_Consolidated_REIT,FY,6032000000.0,7471000000.0,10190000000.0,5090000000.0,139967000000.0,0.476,5201000000.0,-0.1926114308660153,11654000000.0,-0.12562210399862705,0.5919528949950932,0.03636571477562568,0.0047599999999999995,-0.13776525198938994,-
40110,2026-08-20,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,271000000.0,-24000000.0,3351000000.0,-191000000.0,6159000000.0,0.595,,9.99,1637000000.0,1.0470372632864997,0.0808713816771113,-0.031011527845429453,0.0059499999999999996,,-
79660,2026-08-20,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,6873000000.0,5803000000.0,83178000000.0,5399000000.0,261300000000.0,0.757,,0.184387385834913,77073000000.0,0.0792106185045347,0.08263002236168218,0.020662074244163796,0.00757,,TOPIX Small 1
89280,2026-08-20,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,7160000000.0,5690000000.0,138877000000.0,4616000000.0,47758000000.0,0.303,7700000000.0,0.2583479789103691,130973000000.0,0.06034831606514324,0.0515564132289724,0.0966539637338247,0.0030299999999999997,0.07541899441340782,-
92190,2026-08-20,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,25000000.0,-99000000.0,2765000000.0,-35000000.0,1687000000.0,0.598,100000000.0,9.99,2398000000.0,0.15304420350291914,0.009041591320072333,-0.02074688796680498,0.00598,3.0,-
