Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
18500,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,465000000.0,599000000.0,9790000000.0,299000000.0,19430000000.0,0.613,,-0.22370617696160267,11416000000.0,-0.14243167484232655,0.047497446373850866,0.015388574369531652,0.00613,,-
19440,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,13601000000.0,7243000000.0,162369000000.0,9894000000.0,433425000000.0,0.499,,0.877813060886373,141412000000.0,0.14819817271518687,0.08376598981332643,0.022827478802560995,0.00499,,TOPIX Mid400
19460,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,5062000000.0,3429000000.0,61395000000.0,4387000000.0,156250000000.0,0.526,,0.4762321376494605,61158000000.0,0.003875208476405323,0.08244971088850883,0.0280768,0.00526,,TOPIX Small 2
21750,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,4308000000.0,3616000000.0,20212000000.0,3728000000.0,28257000000.0,0.516,,0.1913716814159292,18672000000.0,0.0824764353041989,0.21314070849000594,0.13193191067700039,0.0051600000000000005,,TOPIX Small 1
23590,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,834000000.0,685000000.0,6666000000.0,593000000.0,20764000000.0,0.739,,0.2175182481751825,5929000000.0,0.12430426716141008,0.1251125112511251,0.02855904450009632,0.00739,,TOPIX Small 2
26640,2026-07-29,2026-06-15,1QFinancialStatements_Consolidated_JP,1Q,1447000000.0,1249000000.0,71981000000.0,1102000000.0,114831000000.0,0.567,,0.1585268214571658,71025000000.0,0.013460049278423147,0.020102527055750823,0.009596711689352179,0.00567,,TOPIX Small 1
27600,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,4066000000.0,1455000000.0,60322000000.0,2651000000.0,54361000000.0,0.327,,1.7945017182130583,45136000000.0,0.3364498404820986,0.06740492689234442,0.04876657898125494,0.0032700000000000003,,TOPIX Small 1
36360,2026-07-29,2026-06-30,3QFinancialStatements_Consolidated_JP,3Q,7596000000.0,6633000000.0,98232000000.0,6880000000.0,86381000000.0,0.598,,0.1451831750339212,91623000000.0,0.07213254313873163,0.07732714390422672,0.0796471446267119,0.00598,,TOPIX Small 1
37930,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,522000000.0,-81000000.0,4355000000.0,323000000.0,5269000000.0,0.47,,9.99,4466000000.0,-0.024854455888938642,0.11986222732491389,0.06130195483013855,0.004699999999999999,,-
38390,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-252000000.0,-210000000.0,971000000.0,-176000000.0,6196000000.0,0.754,,0.19999999999999996,1008000000.0,-0.03670634920634919,-0.25952626158599384,-0.028405422853453842,0.00754,,-
38500,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,384000000.0,296000000.0,3774000000.0,307000000.0,5863000000.0,0.53,,0.29729729729729737,3307000000.0,0.14121560326579985,0.10174880763116058,0.052362271874466994,0.0053,,-
39110,2026-07-29,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,529000000.0,1843000000.0,6871000000.0,383000000.0,7256000000.0,0.726,,-0.7129679869777537,8989000000.0,-0.23562131494048277,0.07699024887207102,0.05278390297684675,0.00726,,-
39690,2026-07-29,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,254000000.0,223000000.0,788000000.0,166000000.0,5649000000.0,0.794,,0.13901345291479816,695000000.0,0.13381294964028778,0.3223350253807107,0.02938573198796247,0.007940000000000001,,-
40430,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,6076000000.0,7884000000.0,85654000000.0,5204000000.0,301952000000.0,0.497,,-0.22932521562658548,81828000000.0,0.04675661142885068,0.07093655871296145,0.017234527342094106,0.00497,,TOPIX Mid400
40910,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_IFRS,1Q,64731000000.0,45547000000.0,361763000000.0,43716000000.0,1311684000000.0,0.454,,0.4211912969021012,314758000000.0,0.1493369509273792,0.17893206325688366,0.03332814915787644,0.00454,,TOPIX Mid400
42050,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,16300000000.0,12129000000.0,109466000000.0,12711000000.0,395811000000.0,0.655,,0.3438865528897683,103083000000.0,0.061920976300650965,0.14890468273253796,0.032113811895071134,0.00655,,TOPIX Mid400
43620,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,1437000000.0,1238000000.0,8889000000.0,1244000000.0,52037000000.0,0.778,,0.1607431340872374,8121000000.0,0.09456963428149234,0.16166047924400945,0.023906066837058246,0.0077800000000000005,,TOPIX Small 2
44610,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,5117000000.0,1723000000.0,27501000000.0,3116000000.0,60973000000.0,0.469,,1.9698200812536273,19046000000.0,0.4439252336448598,0.18606596123777316,0.05110458727633543,0.00469,,TOPIX Small 2
47220,2026-07-29,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,7379000000.0,7108000000.0,38322000000.0,5165000000.0,66437000000.0,0.68,,0.03812605514912781,35645000000.0,0.07510169729274785,0.19255258076300819,0.07774282402877915,0.0068000000000000005,,TOPIX Small 1
48120,2026-07-29,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,12342000000.0,10661000000.0,88649000000.0,8888000000.0,105433000000.0,0.58,,0.15767751618047088,80239000000.0,0.10481187452485696,0.13922322868842288,0.08429998197907676,0.0058,,TOPIX Small 1
48320,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,802000000.0,1653000000.0,12742000000.0,519000000.0,35981000000.0,0.639,,-0.514821536600121,14811000000.0,-0.13969347106880026,0.06294145346099514,0.014424279480837108,0.00639,,-
53440,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,6348000000.0,6002000000.0,19267000000.0,4466000000.0,151377000000.0,0.915,,0.057647450849716675,17256000000.0,0.11653917477978681,0.329475268593969,0.029502500379846343,0.00915,,TOPIX Mid400
56090,2026-07-29,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,-90000000.0,28000000.0,2624000000.0,-68000000.0,11534000000.0,0.553,,-4.214285714285714,2991000000.0,-0.12270143764627217,-0.03429878048780488,-0.005895612970348535,0.00553,,-
58340,2026-07-29,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,3963000000.0,2571000000.0,22258000000.0,2541000000.0,30578000000.0,0.306,,0.5414235705950992,10419000000.0,1.1362894711584604,0.17804834216910773,0.08309896003662764,0.00306,,-
59060,2026-07-29,2026-06-20,1QFinancialStatements_Consolidated_JP,1Q,194000000.0,357000000.0,5788000000.0,163000000.0,19442000000.0,0.669,,-0.45658263305322133,6134000000.0,-0.05640691229214212,0.033517622667588114,0.008383911120255117,0.006690000000000001,,-
61610,2026-07-29,2026-06-20,1QFinancialStatements_Consolidated_JP,1Q,414000000.0,175000000.0,1808000000.0,269000000.0,11608000000.0,0.877,,1.3657142857142857,1551000000.0,0.1656995486782722,0.22898230088495575,0.023173673328738802,0.00877,,-
