Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
17580,2026-09-10,2026-07-31,2QFinancialStatements_NonConsolidated_JP,2Q,425000000.0,345000000.0,7346000000.0,321000000.0,9837000000.0,0.771,,0.2318840579710144,7500000000.0,-0.020533333333333292,0.057854614756329976,0.0326318999695029,0.00771,,-
19280,2026-09-10,2026-07-31,2QFinancialStatements_Consolidated_JP,2Q,180370000000.0,155473000000.0,1965644000000.0,125053000000.0,2302992000000.0,0.44,,0.16013712991966456,2015408000000.0,-0.024691774568722513,0.09176127518513016,0.054300232045964555,0.0044,,TOPIX Large70
215A0,2026-09-10,2026-07-31,1QFinancialStatements_Consolidated_JP,1Q,1937000000.0,2108000000.0,10443000000.0,1273000000.0,17044000000.0,0.466,,-0.08111954459203041,10856000000.0,-0.03804347826086951,0.1854830987264196,0.07468904013142455,0.00466,,-
21630,2026-09-10,2026-07-31,2QFinancialStatements_Consolidated_JP,2Q,1217000000.0,1099000000.0,7075000000.0,815000000.0,5519000000.0,0.63,,0.10737033666969964,5876000000.0,0.2040503744043567,0.17201413427561837,0.1476716796521109,0.0063,,-
21980,2026-09-10,2026-07-31,3QFinancialStatements_Consolidated_JP,3Q,1028000000.0,717000000.0,17016000000.0,798000000.0,12408000000.0,0.588,,0.4337517433751743,15861000000.0,0.07282012483449973,0.06041372825575929,0.06431334622823985,0.00588,,-
23750,2026-09-10,2026-07-31,3QFinancialStatements_Consolidated_JP,3Q,370000000.0,-193000000.0,17326000000.0,9000000.0,2716000000.0,0.331,,9.99,16712000000.0,0.03674006701771182,0.021355188733695026,0.0033136966126656848,0.00331,,-
272A0,2026-09-10,2026-07-31,1QFinancialStatements_Consolidated_JP,1Q,402000000.0,381000000.0,7922000000.0,244000000.0,12314000000.0,0.416,,0.055118110236220375,7479000000.0,0.05923251771627225,0.05074476142388286,0.019814844891992853,0.00416,,
29230,2026-09-10,2026-07-31,1QFinancialStatements_Consolidated_JP,1Q,107000000.0,864000000.0,7996000000.0,101000000.0,24777000000.0,0.443,,-0.8761574074074074,8941000000.0,-0.1056928755172799,0.013381690845422711,0.004076361141381119,0.00443,,-
29830,2026-09-10,2026-07-31,2QFinancialStatements_Consolidated_JP,2Q,2513000000.0,1726000000.0,27371000000.0,1670000000.0,9242000000.0,0.229,,0.4559675550405562,22871000000.0,0.19675571684666182,0.09181250228343868,0.18069681887037436,0.00229,,-
30700,2026-09-10,2026-07-31,2QFinancialStatements_Consolidated_JP,2Q,-627000000.0,-169000000.0,2261000000.0,-648000000.0,4627000000.0,0.713,,2.710059171597633,863000000.0,1.6199304750869064,-0.2773109243697479,-0.1400475470066998,0.00713,,-
