Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
25900,2026-08-27,2026-07-20,2QFinancialStatements_Consolidated_JP,2Q,6744000000.0,1381000000.0,120057000000.0,2800000000.0,69769000000.0,0.415,,3.8834178131788555,117701000000.0,0.02001682228698143,0.0561733176741048,0.04013243704223939,0.00415,,TOPIX Small 1
35380,2026-08-27,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,1426000000.0,1849000000.0,96839000000.0,1108000000.0,12893000000.0,0.266,2255000000.0,-0.2287723093564089,88614000000.0,0.09281829056356794,0.014725472175466495,0.08593810594896456,0.00266,0.5813464235624124,-
38080,2026-08-27,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,-202000000.0,-114000000.0,270000000.0,-358000000.0,268000000.0,0.14,-230000000.0,0.7719298245614035,234000000.0,0.15384615384615374,-0.7481481481481481,-1.335820895522388,0.0014000000000000002,-2.1386138613861387,
