Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
47070,2026-08-28,2026-07-20,3QFinancialStatements_Consolidated_JP,3Q,158000000.0,166000000.0,2424000000.0,141000000.0,3691000000.0,0.608,,-0.048192771084337394,2549000000.0,-0.04903883876029813,0.06518151815181518,0.038201029531292334,0.0060799999999999995,,-
61180,2026-08-28,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,457000000.0,1268000000.0,15347000000.0,484000000.0,86817000000.0,0.693,,-0.639589905362776,18550000000.0,-0.17266846361185983,0.02977780673747312,0.005574944999251299,0.0069299999999999995,,TOPIX Small 1
81170,2026-08-28,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,2914000000.0,2449000000.0,11440000000.0,2397000000.0,63384000000.0,0.889,,0.1898734177215189,9795000000.0,0.16794282797345583,0.2547202797202797,0.03781711472926921,0.00889,,-
