Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
13800,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-7000000.0,5000000.0,2095000000.0,1000000.0,2155000000.0,0.303,,-2.4,2055000000.0,0.019464720194647178,-0.003341288782816229,0.0004640371229698376,0.0030299999999999997,,-
14430,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,201000000.0,156000000.0,1164000000.0,237000000.0,13025000000.0,0.718,,0.28846153846153855,1018000000.0,0.14341846758349708,0.17268041237113402,0.0181957773512476,0.00718,,-
145A0,2026-08-14,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,151000000.0,92000000.0,1371000000.0,112000000.0,1978000000.0,0.574,,0.6413043478260869,1028000000.0,0.33365758754863806,0.11013858497447118,0.056622851365015166,0.0057399999999999994,,-
14910,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-525000000.0,199000000.0,74289000000.0,-555000000.0,8319000000.0,0.444,,-3.6381909547738696,57834000000.0,0.2845212158937649,-0.007066995113677664,-0.06671474936891453,0.00444,,-
153A0,2026-08-14,2026-06-30,2QFinancialStatements_NonConsolidated_JP,2Q,283000000.0,223000000.0,816000000.0,178000000.0,1521000000.0,0.64,,0.26905829596412567,670000000.0,0.21791044776119395,0.34681372549019607,0.11702827087442472,0.0064,,-
157A0,2026-08-14,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,-276000000.0,123000000.0,1921000000.0,-375000000.0,1046000000.0,0.519,-343000000.0,-3.2439024390243905,2006000000.0,-0.0423728813559322,-0.14367516918271733,-0.35850860420650094,0.00519,-2.2427536231884058,-
160A0,2026-08-14,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,271000000.0,1413000000.0,7937000000.0,243000000.0,5165000000.0,0.224,,-0.808209483368719,8991000000.0,-0.11722833945056166,0.034143883079249086,0.04704743465634075,0.0022400000000000002,,-
17160,2026-08-14,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,1645000000.0,1647000000.0,20089000000.0,1600000000.0,20357000000.0,0.864,1950000000.0,-0.0012143290831815312,20228000000.0,-0.006871663041328802,0.08188560903977302,0.07859704278626517,0.00864,0.18541033434650456,TOPIX Small 2
17210,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,9905000000.0,7639000000.0,139329000000.0,8538000000.0,403896000000.0,0.718,,0.296635685299123,128268000000.0,0.0862335110861634,0.07109072770205772,0.021139105116168518,0.00718,,TOPIX Mid400
173A0,2026-08-14,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,121000000.0,99000000.0,1212000000.0,81000000.0,3125000000.0,0.442,,0.22222222222222232,1137000000.0,0.06596306068601576,0.09983498349834984,0.02592,0.00442,,-
175A0,2026-08-14,2026-06-30,2QFinancialStatements_NonConsolidated_JP,2Q,-168000000.0,-168000000.0,328000000.0,-173000000.0,290000000.0,0.368,,0.0,361000000.0,-0.09141274238227148,-0.5121951219512195,-0.596551724137931,0.00368,,-
177A0,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-54000000.0,131000000.0,974000000.0,-41000000.0,5881000000.0,0.669,,-1.4122137404580153,1219000000.0,-0.20098441345365048,-0.055441478439425054,-0.006971603468797823,0.006690000000000001,,-
17830,2026-08-14,2026-06-30,3QFinancialStatements_Consolidated_JP,3Q,214000000.0,23000000.0,2681000000.0,-17000000.0,7847000000.0,0.69,,8.304347826086957,7813000000.0,-0.6568539613464739,0.07982096232748974,-0.002166433031731872,0.0069,,-
17880,2026-08-14,2026-06-30,FYFinancialStatements_Consolidated_JP,FY,445000000.0,327000000.0,10380000000.0,295000000.0,3848000000.0,0.609,400000000.0,0.36085626911314983,8199000000.0,0.2660080497621662,0.042870905587668595,0.07666320166320166,0.00609,-0.101123595505618,-
206A0,2026-08-14,2026-06-30,3QFinancialStatements_NonConsolidated_JP,3Q,-829000000.0,-753000000.0,369000000.0,-845000000.0,1890000000.0,0.757,,0.10092961487383789,309000000.0,0.1941747572815533,-2.2466124661246614,-0.4470899470899471,0.00757,,-
21340,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-496000000.0,-234000000.0,58000000.0,-447000000.0,5133000000.0,0.721,,1.1196581196581197,42000000.0,0.38095238095238093,-8.551724137931034,-0.08708357685563997,0.007209999999999999,,-
21370,2026-08-14,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,-143000000.0,-151000000.0,765000000.0,-112000000.0,2917000000.0,0.425,,-0.052980132450331174,762000000.0,0.003937007874015741,-0.1869281045751634,-0.03839561193006513,0.00425,,
21580,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-179000000.0,-88000000.0,1632000000.0,-105000000.0,3745000000.0,0.403,,1.0340909090909092,1546000000.0,0.05562742561448908,-0.1096813725490196,-0.028037383177570093,0.004030000000000001,,-
21600,2026-08-14,2026-06-30,2QFinancialStatements_Consolidated_IFRS,2Q,534000000.0,-1179000000.0,11937000000.0,-1988000000.0,66497000000.0,0.495,,9.99,12252000000.0,-0.025710088148873655,0.04473485800452375,-0.02989608553769343,0.0049499999999999995,,-
21730,2026-08-14,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,968000000.0,1168000000.0,11113000000.0,658000000.0,5386000000.0,0.607,,-0.17123287671232879,10314000000.0,0.07746751987589673,0.08710519211734005,0.12216858522094319,0.00607,,-
21830,2026-08-14,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,-719000000.0,-104000000.0,1912000000.0,-636000000.0,3211000000.0,0.29,,5.913461538461538,2626000000.0,-0.27189642041127193,-0.3760460251046025,-0.19806913734039241,0.0029,,-
