Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
17180,2026-07-27,2026-06-30,2QFinancialStatements_Consolidated_JP,2Q,944000000.0,1071000000.0,19902000000.0,668000000.0,19834000000.0,0.504,,-0.11858076563958919,15936000000.0,0.24887048192771077,0.047432418852376645,0.033679540183523246,0.00504,,-
27670,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,6881000000.0,7809000000.0,43715000000.0,4740000000.0,66573000000.0,0.552,,-0.11883723908310928,55555000000.0,-0.21312213122131218,0.15740592473979184,0.07120003605065116,0.005520000000000001,,TOPIX Small 1
31320,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,16509000000.0,8198000000.0,393443000000.0,10928000000.0,298572000000.0,0.371,,1.0137838497194438,281613000000.0,0.3971052472719654,0.0419603347880125,0.03660088688825476,0.0037099999999999998,,TOPIX Mid400
36350,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,5407000000.0,3574000000.0,17368000000.0,11348000000.0,279963000000.0,0.836,,0.512870733072188,14800000000.0,0.17351351351351352,0.3113196683555965,0.04053392769758861,0.00836,,TOPIX Mid400
43660,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,395000000.0,321000000.0,5133000000.0,302000000.0,16923000000.0,0.572,,0.23052959501557635,4778000000.0,0.07429886982000844,0.07695304889927918,0.017845535661525733,0.005719999999999999,,-
43730,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_IFRS,1Q,3427000000.0,3213000000.0,16135000000.0,2249000000.0,49740000000.0,0.61,,0.06660441954559593,13464000000.0,0.19838086749851458,0.21239541369693213,0.045215118616807395,0.0060999999999999995,,TOPIX Small 1
46440,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,173000000.0,-36000000.0,1365000000.0,318000000.0,12440000000.0,0.92,,9.99,1305000000.0,0.04597701149425282,0.12673992673992673,0.025562700964630224,0.0092,,-
47650,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,2663000000.0,513000000.0,12823000000.0,1389000000.0,42006000000.0,0.596,,4.1910331384015596,2844000000.0,3.5087904360056257,0.2076737113000078,0.03306670475646336,0.00596,,TOPIX Small 2
49560,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,3257000000.0,2136000000.0,36202000000.0,2374000000.0,91881000000.0,0.635,,0.5248127340823969,32241000000.0,0.12285599081914333,0.08996740511573946,0.025837768417844822,0.00635,,TOPIX Small 2
59110,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,1134000000.0,1117000000.0,41200000000.0,419000000.0,132065000000.0,0.527,,0.015219337511190645,33451000000.0,0.23165226749573997,0.027524271844660195,0.003172680119638057,0.00527,,TOPIX Small 1
62300,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,137000000.0,249000000.0,7392000000.0,78000000.0,15692000000.0,0.621,,-0.44979919678714864,7109000000.0,0.0398086932057955,0.018533549783549784,0.004970685699719602,0.00621,,-
72990,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,905000000.0,525000000.0,7447000000.0,671000000.0,33111000000.0,0.842,,0.7238095238095239,6830000000.0,0.09033674963396776,0.12152544648851887,0.02026516867506267,0.00842,,-
77510,2026-07-27,2026-06-30,2QFinancialStatements_Consolidated_US,2Q,230595000000.0,214308000000.0,2274542000000.0,171184000000.0,3687079000000.0,0.546,,0.07599809619799536,2198567000000.0,0.03455659982161108,0.10138084941935563,0.04642808033134088,0.0054600000000000004,,TOPIX Large70
79490,2026-07-27,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,418000000.0,306000000.0,9976000000.0,267000000.0,38371000000.0,0.81,,0.36601307189542487,9611000000.0,0.03797731765685142,0.04190056134723336,0.006958380026582576,0.008100000000000001,,TOPIX Small 2
81900,2026-07-27,2026-06-20,1QFinancialStatements_Consolidated_JP,1Q,-68000000.0,50000000.0,20761000000.0,-12000000.0,18028000000.0,0.425,,-2.3600000000000003,20590000000.0,0.008305002428363295,-0.0032753720919030875,-0.0006656312402928778,0.00425,,
90810,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,2907000000.0,2609000000.0,32145000000.0,1706000000.0,72976000000.0,0.355,,0.11422000766577223,31500000000.0,0.020476190476190537,0.09043397106859542,0.023377548783161586,0.0035499999999999998,,TOPIX Small 2
95330,2026-07-27,2026-06-30,1QFinancialStatements_Consolidated_JP,1Q,7640000000.0,19840000000.0,144849000000.0,9424000000.0,495569000000.0,0.594,,-0.6149193548387097,161470000000.0,-0.10293552981978071,0.052744582289142486,0.019016524439583588,0.00594,,TOPIX Mid400
96630,2026-07-27,2026-06-30,1QFinancialStatements_NonConsolidated_JP,1Q,982000000.0,745000000.0,8576000000.0,918000000.0,67509000000.0,0.881,,0.31812080536912757,8010000000.0,0.07066167290886383,0.11450559701492537,0.013598186908412212,0.00881,,TOPIX Small 2
