Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
21630,2026-06-10,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,632000000.0,518000000.0,3503000000.0,425000000.0,5131000000.0,0.576,,0.22007722007722008,2847000000.0,0.23041798384264145,0.1804167856123323,0.0828298577275385,0.0057599999999999995,,-
22940,2026-06-10,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,1426000000.0,1500000000.0,36072000000.0,811000000.0,15504000000.0,0.796,1400000000.0,-0.04933333333333334,36104000000.0,-0.0008863283846665126,0.03953204701707696,0.052309081527347784,0.00796,-0.018232819074333828,TOPIX Small 2
23340,2026-06-10,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,211000000.0,-20000000.0,14159000000.0,-528000000.0,3498000000.0,0.317,1142000000.0,9.99,3549000000.0,2.9895745280360666,0.014902182357511123,-0.1509433962264151,0.00317,4.412322274881516,-
27510,2026-06-10,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,2890000000.0,2668000000.0,53408000000.0,1894000000.0,19194000000.0,0.604,4180000000.0,0.08320839580209904,47055000000.0,0.13501221974285404,0.05411174355901738,0.09867666979264353,0.00604,0.44636678200692037,-
29100,2026-06-10,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,780000000.0,1242000000.0,51096000000.0,98000000.0,28612000000.0,0.821,531000000.0,-0.3719806763285024,51184000000.0,-0.0017192872772741064,0.015265382808830438,0.0034251363064448483,0.00821,-0.3192307692307692,TOPIX Small 2
29290,2026-06-10,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,-1430000000.0,-217000000.0,48555000000.0,-1061000000.0,10084000000.0,0.289,,5.589861751152074,46817000000.0,0.03712326718926895,-0.029451137884872823,-0.10521618405394685,0.0028899999999999998,,TOPIX Small 2
40140,2026-06-10,2026-04-30,3QFinancialStatements_NonConsolidated_JP,3Q,146000000.0,-65000000.0,731000000.0,146000000.0,628000000.0,0.733,,9.99,1075000000.0,-0.31999999999999995,0.1997264021887825,0.23248407643312102,0.00733,,-
40260,2026-06-10,2026-04-30,FYFinancialStatements_NonConsolidated_JP,FY,2679000000.0,1786000000.0,28008000000.0,1850000000.0,14710000000.0,0.476,,0.5,27405000000.0,0.022003284072249496,0.09565124250214224,0.1257647858599592,0.0047599999999999995,,-
43340,2026-06-10,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,67000000.0,39000000.0,1119000000.0,43000000.0,2588000000.0,0.64,,0.7179487179487178,921000000.0,0.21498371335504896,0.05987488829311886,0.01661514683153014,0.0064,,-
44410,2026-06-10,2026-04-30,2QFinancialStatements_NonConsolidated_JP,2Q,485000000.0,526000000.0,1674000000.0,335000000.0,2892000000.0,0.459,,-0.07794676806083645,1372000000.0,0.22011661807580185,0.2897252090800478,0.11583679114799447,0.00459,,-
45990,2026-06-10,2026-04-30,3QFinancialStatements_NonConsolidated_JP,3Q,-1484000000.0,-1511000000.0,,-1408000000.0,6125000000.0,0.724,,-0.01786896095301127,,,,-0.22987755102040816,0.00724,,-
48800,2026-06-10,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,125000000.0,17000000.0,1775000000.0,71000000.0,5992000000.0,0.842,,6.352941176470588,1820000000.0,-0.02472527472527475,0.07042253521126761,0.01184913217623498,0.00842,,TOPIX Small 2
50310,2026-06-10,2026-04-30,1QFinancialStatements_NonConsolidated_JP,1Q,61000000.0,51000000.0,1607000000.0,62000000.0,2035000000.0,0.494,,0.196078431372549,1607000000.0,0.0,0.037958929682638455,0.030466830466830467,0.00494,,-
50320,2026-06-10,2026-04-30,FYFinancialStatements_NonConsolidated_JP,FY,20172000000.0,16279000000.0,55681000000.0,14091000000.0,26963000000.0,0.739,,0.2391424534676576,42876000000.0,0.29865192648567973,0.3622779763294481,0.5226050513666877,0.00739,,TOPIX Small 1
51320,2026-06-10,2026-04-30,2QFinancialStatements_NonConsolidated_JP,2Q,312000000.0,290000000.0,851000000.0,196000000.0,1599000000.0,0.844,,0.07586206896551717,797000000.0,0.06775407779171894,0.36662749706227965,0.12257661038148843,0.00844,,-
65770,2026-06-10,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,-35000000.0,-39000000.0,1443000000.0,-42000000.0,1072000000.0,0.234,,-0.10256410256410253,1566000000.0,-0.07854406130268199,-0.024255024255024255,-0.03917910447761194,0.00234,,-
70640,2026-06-10,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,164000000.0,34000000.0,825000000.0,94000000.0,1532000000.0,0.446,,3.8235294117647056,578000000.0,0.4273356401384083,0.1987878787878788,0.06135770234986945,0.00446,,-
76780,2026-06-10,2026-04-30,1QFinancialStatements_NonConsolidated_JP,1Q,97000000.0,111000000.0,2866000000.0,52000000.0,3448000000.0,0.686,,-0.12612612612612617,2292000000.0,0.25043630017452,0.03384508025122122,0.015081206496519721,0.006860000000000001,,-
76820,2026-06-10,2026-04-30,3QFinancialStatements_NonConsolidated_JP,3Q,203000000.0,180000000.0,4774000000.0,106000000.0,1705000000.0,0.367,,0.12777777777777777,4620000000.0,0.03333333333333344,0.04252199413489736,0.06217008797653959,0.00367,,-
91660,2026-06-10,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,288000000.0,1390000000.0,49702000000.0,-752000000.0,65804000000.0,0.292,,-0.7928057553956834,34269000000.0,0.4503487116636027,0.005794535431169772,-0.01142787672481916,0.00292,,-
96320,2026-06-10,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,1560000000.0,1799000000.0,7965000000.0,1075000000.0,37607000000.0,0.851,,-0.1328515842134519,7828000000.0,0.017501277465508336,0.1958568738229755,0.028585103837051613,0.00851,,TOPIX Small 2
