Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
14330,2026-06-09,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,353000000.0,133000000.0,3273000000.0,259000000.0,5359000000.0,0.618,,1.6541353383458648,2531000000.0,0.29316475701303824,0.10785212343415826,0.04832991229707035,0.00618,,-
14360,2026-06-09,2026-01-31,3QFinancialStatements_Consolidated_JP,3Q,542000000.0,192000000.0,11159000000.0,288000000.0,5542000000.0,0.312,,1.8229166666666665,7631000000.0,0.46232472808282,0.04857066045344565,0.05196679898953446,0.00312,,-
14360,2026-06-09,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,1191000000.0,543000000.0,18358000000.0,500000000.0,5694000000.0,0.343,1450000000.0,1.1933701657458564,11616000000.0,0.5804063360881542,0.06487634818607692,0.08781173164734808,0.0034300000000000003,0.2174643157010916,-
18440,2026-06-09,2026-04-30,3QFinancialStatements_Consolidated_JP,3Q,647000000.0,715000000.0,5556000000.0,436000000.0,6171000000.0,0.485,,-0.09510489510489506,4823000000.0,0.15198009537632173,0.11645068394528438,0.07065305461027387,0.00485,,-
22170,2026-06-09,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,272000000.0,421000000.0,9152000000.0,183000000.0,19889000000.0,0.697,,-0.3539192399049881,8998000000.0,0.017114914425427896,0.02972027972027972,0.009201065915832873,0.00697,,TOPIX Small 2
24380,2026-06-09,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,391000000.0,173000000.0,7102000000.0,292000000.0,5337000000.0,0.858,460000000.0,1.260115606936416,7263000000.0,-0.02216714856120061,0.05505491410870177,0.05471238523515083,0.008579999999999999,0.17647058823529416,-
29830,2026-06-09,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,1004000000.0,653000000.0,12635000000.0,666000000.0,8216000000.0,0.221,,0.5375191424196017,10245000000.0,0.23328452903855545,0.07946181242580135,0.08106134371957156,0.00221,,-
31800,2026-06-09,2026-04-30,FYFinancialStatements_Consolidated_JP,FY,1518000000.0,1594000000.0,38197000000.0,932000000.0,8701000000.0,0.453,2217000000.0,-0.04767879548306153,33721000000.0,0.1327362770973577,0.03974134094300599,0.10711412481323986,0.00453,0.46047430830039526,TOPIX Small 2
63360,2026-06-09,2026-04-30,1QFinancialStatements_Consolidated_JP,1Q,367000000.0,184000000.0,4049000000.0,266000000.0,10842000000.0,0.688,,0.9945652173913044,3604000000.0,0.1234739178690345,0.0906396641145962,0.024534218778823096,0.00688,,-
78040,2026-06-09,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,336000000.0,351000000.0,2249000000.0,230000000.0,3870000000.0,0.834,,-0.042735042735042694,2138000000.0,0.051917680074836214,0.1493997332147621,0.059431524547803614,0.00834,,-
78860,2026-06-09,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,-441000000.0,202000000.0,9730000000.0,-827000000.0,569000000.0,0.111,108000000.0,-3.1831683168316833,16072000000.0,-0.39459930313588854,-0.045323741007194246,-1.453427065026362,0.00111,-0.7551020408163265,-
79830,2026-06-09,2026-04-30,2QFinancialStatements_Consolidated_JP,2Q,107000000.0,113000000.0,6204000000.0,205000000.0,11509000000.0,0.494,,-0.053097345132743334,6306000000.0,-0.016175071360608917,0.017246937459703418,0.017812147015379268,0.00494,,-
