Code,DisclosedDate,FiscalPeriodEnd,TypeOfDocument,CurPerType,OperatingProfit,OperatingProfitPriorYear,Sales,NP,Eq,EqAR,NxFOP,EarningsGrowth,SalesPriorYear,SalesGrowth,OperatingMargin,ROE,EquityRatio,ForwardGuidance,ScaleCat
29840,2026-05-25,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,1929000000.0,1753000000.0,17638000000.0,564000000.0,14115000000.0,0.225,2864000000.0,0.10039931545921288,20909000000.0,-0.15643981060787215,0.10936614128586007,0.03995749202975558,0.0022500000000000003,0.48470710212545365,-
59910,2026-05-25,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,45784000000.0,52160000000.0,816879000000.0,27862000000.0,453035000000.0,0.593,59000000000.0,-0.122239263803681,801698000000.0,0.018936058216435514,0.05604746847452315,0.061500767048903504,0.0059299999999999995,0.2886597938144331,TOPIX Mid400
61040,2026-05-25,2025-12-31,3QFinancialStatements_Consolidated_JP,3Q,1872000000.0,13117000000.0,92719000000.0,-466000000.0,117820000000.0,0.641,,-0.8572844400396432,133078000000.0,-0.3032732683088114,0.020190036562085442,-0.003955185876761161,0.00641,,TOPIX Small 1
61040,2026-05-25,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,4367000000.0,14095000000.0,132815000000.0,1028000000.0,118541000000.0,0.683,4200000000.0,-0.6901738205037247,168191000000.0,-0.21033230077709275,0.032880322252757596,0.0086721050100809,0.00683,-0.03824135562170827,TOPIX Small 1
70130,2026-05-25,2026-03-31,FYFinancialStatements_Consolidated_IFRS,FY,165534000000.0,143517000000.0,1643402000000.0,160992000000.0,681531000000.0,0.269,240000000000.0,0.1534103973745271,1626831000000.0,0.010186061121284284,0.10072641995080936,0.23622109632577243,0.00269,0.44985320236326065,TOPIX Mid400
72770,2026-05-25,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,1496000000.0,941000000.0,54756000000.0,-131000000.0,32384000000.0,0.555,1100000000.0,0.5897980871413391,54415000000.0,0.006266654415142847,0.027321206808386296,-0.004045207509881423,0.00555,-0.2647058823529411,-
74330,2026-05-25,2026-03-31,FYFinancialStatements_Consolidated_JP,FY,6080000000.0,7913000000.0,181178000000.0,5009000000.0,69833000000.0,0.416,8800000000.0,-0.2316441299128017,183133000000.0,-0.010675301556792083,0.033558158275287284,0.07172826600604298,0.00416,0.44736842105263164,TOPIX Small 1
